study_number,department,contract_value,balance,status,start_date,end_date
CT-1001,Pulmonology,207000.00,26000.00,Ongoing,2023-05-21,2024-01-21
CT-1002,Cardiology,527000.00,72000.00,Expired,2023-12-13,2025-04-25
CT-1003,Oncology,452000.00,236000.00,Ongoing,2023-01-17,2023-06-01
CT-1004,Cardiology,269000.00,149000.00,Expired,2023-11-05,2024-03-17
CT-1005,Cardiology,516000.00,352000.00,Finalized,2023-12-26,2025-01-28
CT-1006,Cardiology,379000.00,321000.00,Ongoing,2023-05-23,2024-11-07
CT-1007,Immunology,562000.00,183000.00,Finalized,2023-12-24,2024-11-24
CT-1008,Neurology,229000.00,75000.00,Ongoing,2023-06-22,2023-12-11
CT-1009,Dermatology,199000.00,111000.00,Finalized,2023-06-26,2024-08-28
CT-1010,Immunology,172000.00,137000.00,Finalized,2023-10-02,2024-04-02
CT-1011,Oncology,432000.00,170000.00,Finalized,2023-11-18,2025-01-27
CT-1012,Endocrinology,248000.00,200000.00,Expired,2023-02-05,2023-06-28
CT-1013,Cardiology,545000.00,316000.00,Ongoing,2023-02-10,2023-10-07
CT-1014,Dermatology,292000.00,252000.00,Ongoing,2023-11-22,2024-09-23
CT-1015,Neurology,331000.00,127000.00,Expired,2023-12-10,2024-08-22
CT-1016,Pulmonology,481000.00,56000.00,Ongoing,2023-11-08,2025-01-26
CT-1017,Endocrinology,523000.00,145000.00,Finalized,2023-03-25,2024-03-15
CT-1018,Neurology,623000.00,590000.00,Finalized,2023-04-23,2024-08-05
CT-1019,Immunology,543000.00,77000.00,Ongoing,2023-04-28,2024-10-19
CT-1020,Immunology,311000.00,225000.00,Ongoing,2023-05-18,2023-10-18
CT-1021,Endocrinology,598000.00,342000.00,Finalized,2023-04-19,2024-07-17
CT-1022,Dermatology,602000.00,489000.00,Ongoing,2023-03-15,2023-11-25
CT-1023,Cardiology,531000.00,289000.00,Expired,2023-10-27,2024-09-30
CT-1024,Dermatology,335000.00,132000.00,Finalized,2023-03-12,2024-03-26
CT-1025,Oncology,536000.00,68000.00,Expired,2023-02-26,2023-09-12
CT-1026,Cardiology,555000.00,452000.00,Finalized,2023-11-02,2024-04-02
CT-1027,Dermatology,455000.00,259000.00,Expired,2023-09-28,2024-06-02
CT-1028,Immunology,632000.00,31000.00,Ongoing,2023-12-15,2025-04-17
CT-1029,Pulmonology,603000.00,569000.00,Expired,2023-05-17,2024-10-11
CT-1030,Neurology,207000.00,95000.00,Finalized,2023-08-11,2024-02-27
CT-1031,Oncology,638000.00,289000.00,Ongoing,2023-09-14,2025-02-05
CT-1032,Endocrinology,617000.00,128000.00,Expired,2023-11-17,2024-08-15
CT-1033,Endocrinology,461000.00,121000.00,Ongoing,2023-03-20,2024-01-25
CT-1034,Endocrinology,638000.00,563000.00,Finalized,2023-01-01,2024-03-02
CT-1035,Dermatology,159000.00,48000.00,Finalized,2023-07-05,2024-12-19
CT-1036,Cardiology,179000.00,81000.00,Ongoing,2023-10-18,2024-03-26
CT-1037,Pulmonology,398000.00,55000.00,Ongoing,2023-09-30,2025-02-23
CT-1038,Cardiology,487000.00,263000.00,Finalized,2023-10-09,2024-04-30
CT-1039,Endocrinology,596000.00,453000.00,Expired,2023-04-19,2024-05-19
CT-1040,Pulmonology,252000.00,202000.00,Expired,2023-06-09,2024-04-28
CT-1041,Pulmonology,341000.00,244000.00,Ongoing,2023-09-22,2024-09-07
CT-1042,Cardiology,265000.00,36000.00,Expired,2023-06-23,2023-10-31
CT-1043,Endocrinology,267000.00,170000.00,Ongoing,2023-04-23,2023-08-24
CT-1044,Pulmonology,473000.00,50000.00,Ongoing,2023-04-28,2023-09-29
CT-1045,Immunology,319000.00,56000.00,Finalized,2023-09-21,2024-05-19
CT-1046,Pulmonology,398000.00,129000.00,Expired,2023-10-04,2024-04-08
CT-1047,Endocrinology,445000.00,262000.00,Finalized,2023-05-05,2024-10-07
CT-1048,Immunology,358000.00,117000.00,Expired,2023-02-18,2023-08-06
CT-1049,Dermatology,331000.00,236000.00,Expired,2023-07-30,2024-07-23
CT-1050,Oncology,494000.00,354000.00,Ongoing,2023-11-27,2024-05-15
CT-1051,Dermatology,522000.00,193000.00,Ongoing,2023-02-25,2023-10-30
CT-1052,Cardiology,424000.00,249000.00,Ongoing,2023-03-13,2024-02-12
CT-1053,Neurology,386000.00,147000.00,Expired,2023-02-08,2024-01-20
CT-1054,Oncology,175000.00,158000.00,Ongoing,2023-01-08,2023-06-24
CT-1055,Cardiology,358000.00,268000.00,Finalized,2023-09-04,2024-04-20
CT-1056,Oncology,234000.00,117000.00,Finalized,2023-01-02,2023-11-17
CT-1057,Immunology,551000.00,485000.00,Expired,2023-05-27,2024-04-27
CT-1058,Pulmonology,551000.00,518000.00,Finalized,2023-03-21,2023-10-24
CT-1059,Cardiology,645000.00,79000.00,Expired,2023-10-24,2025-03-03
CT-1060,Oncology,532000.00,341000.00,Expired,2023-01-30,2023-06-24
CT-1061,Dermatology,407000.00,291000.00,Expired,2023-03-22,2023-08-18
CT-1062,Oncology,585000.00,210000.00,Ongoing,2023-02-05,2024-04-04
CT-1063,Pulmonology,591000.00,260000.00,Expired,2023-07-26,2024-01-23
CT-1064,Cardiology,446000.00,324000.00,Ongoing,2023-01-21,2024-04-02
CT-1065,Dermatology,486000.00,318000.00,Finalized,2023-10-17,2024-11-07
CT-1066,Neurology,254000.00,191000.00,Finalized,2023-06-10,2024-02-07
CT-1067,Dermatology,217000.00,191000.00,Finalized,2023-11-27,2024-08-26
CT-1068,Neurology,625000.00,94000.00,Expired,2023-01-05,2023-12-25
CT-1069,Endocrinology,201000.00,38000.00,Expired,2023-10-03,2024-05-19
CT-1070,Neurology,217000.00,109000.00,Finalized,2023-02-05,2023-10-08
CT-1071,Neurology,230000.00,132000.00,Finalized,2023-10-06,2025-01-28
CT-1072,Endocrinology,563000.00,561000.00,Expired,2023-01-05,2024-04-10
CT-1073,Neurology,627000.00,126000.00,Ongoing,2023-03-10,2023-11-20
CT-1074,Oncology,530000.00,303000.00,Finalized,2023-03-21,2023-12-05
CT-1075,Endocrinology,257000.00,203000.00,Expired,2023-06-25,2024-02-04
CT-1076,Pulmonology,586000.00,290000.00,Finalized,2023-09-16,2024-09-20
CT-1077,Immunology,176000.00,43000.00,Finalized,2023-11-21,2024-10-22
CT-1078,Oncology,151000.00,105000.00,Finalized,2023-03-08,2024-05-27
CT-1079,Cardiology,529000.00,246000.00,Finalized,2023-10-10,2025-02-02
CT-1080,Endocrinology,154000.00,48000.00,Ongoing,2023-02-08,2024-05-26
CT-1081,Endocrinology,168000.00,114000.00,Ongoing,2023-10-26,2024-12-01
CT-1082,Dermatology,215000.00,30000.00,Ongoing,2023-06-07,2024-04-08
CT-1083,Neurology,257000.00,194000.00,Ongoing,2023-05-08,2024-08-11
CT-1084,Neurology,549000.00,436000.00,Ongoing,2023-11-14,2025-03-31
CT-1085,Cardiology,592000.00,186000.00,Ongoing,2023-04-01,2024-02-26
CT-1086,Cardiology,527000.00,493000.00,Finalized,2023-06-20,2024-11-21
CT-1087,Immunology,492000.00,462000.00,Ongoing,2023-05-08,2024-01-19
CT-1088,Immunology,509000.00,75000.00,Finalized,2023-07-15,2023-12-01
CT-1089,Cardiology,252000.00,229000.00,Finalized,2023-08-24,2024-06-18
CT-1090,Immunology,557000.00,253000.00,Expired,2023-04-25,2023-09-04
CT-1091,Cardiology,354000.00,188000.00,Finalized,2023-05-23,2023-10-25
CT-1092,Neurology,478000.00,280000.00,Expired,2023-07-24,2024-11-02
CT-1093,Neurology,630000.00,48000.00,Ongoing,2023-03-01,2023-11-09
CT-1094,Endocrinology,642000.00,291000.00,Expired,2023-01-20,2023-07-14
CT-1095,Dermatology,326000.00,180000.00,Expired,2023-08-12,2024-10-15
CT-1096,Oncology,347000.00,315000.00,Ongoing,2023-04-08,2023-12-14
CT-1097,Pulmonology,373000.00,20000.00,Expired,2023-09-24,2025-03-09
CT-1098,Pulmonology,518000.00,501000.00,Finalized,2023-12-10,2024-07-17
CT-1099,Dermatology,185000.00,104000.00,Expired,2023-11-16,2024-08-22
CT-1100,Immunology,213000.00,204000.00,Finalized,2023-06-03,2024-06-16
